2016-3-3 16:44:26 GET /amigo?P1=1231  200 /0:0:0:0:0:0:0:1:50540
2016-3-3 16:45:03 GET /amigo?P1=1231  200 /0:0:0:0:0:0:0:1:50554
2016-3-3 17:03:58 GET /amigo?P1=1231  200 /0:0:0:0:0:0:0:1:50554
2016-3-3 17:09:16 GET /amigo?P1=1231  200 /0:0:0:0:0:0:0:1:51365
2016-3-3 17:10:12 GET /amigo?P1=1231  200 /0:0:0:0:0:0:0:1:51365
2016-3-3 17:12:38 GET /amigo?P1=1231&wd=%E7%BF%BB%E8%AF%91  200 /0:0:0:0:0:0:0:1:51479
2016-3-3 17:13:03 GET /amigo?P1=1231&wd=%E7%BF%BB%E8%AF%91  200 /0:0:0:0:0:0:0:1:51479
2016-3-3 17:13:33 GET /amigo?P1=1231&wd=%E7%BF%BB%E8%AF%91  200 /0:0:0:0:0:0:0:1:51479
2016-3-3 17:27:47 GET /amigo?P1=1231&wd=%E7%BF%BB%E8%AF%91  200 /0:0:0:0:0:0:0:1:51936
2016-3-3 17:28:02 GET /amigo?P1=1231&wd=%E7%BF%BB%E8%AF%91  200 /0:0:0:0:0:0:0:1:51936
2016-3-3 19:26:52 GET /amigo?P1=1231&wd=%E7%BF%BB%E8%AF%91  200 /0:0:0:0:0:0:0:1:56889
